# Fix print output for fix def
"Strain,Stess in X,Stress in Y,Strees in z"	
"1.44525381270628e-15 , 2.57445514509362 , 2.58699452613778 , 2.53438324862136"		=
"0.000100000000001483 , 2.60647617702469 , 2.55092961924959 , 2.5172694954779"		
"0.000200000000001521 , 2.76697101876282 , 2.70360745565461 , 2.7556749677588"		
"0.000300000000001559 , 2.66696855044975 , 2.60092898095549 , 2.70746012232158"		
"0.000400000000001356 , 2.71346426566036 , 2.69490674461153 , 2.79119248399196"		
"0.000500000000001394 , 2.72548873080131 , 2.75364920072137 , 2.81792949047464"		
"0.000600000000001432 , 2.87936984864603 , 2.84377774534289 , 2.99844415356278"		
"0.000700000000001469 , 2.87009848150353 , 2.84948200644776 , 3.12711359334527"		
"0.000800000000001507 , 2.94193346904331 , 2.95927341073423 , 3.17889448643647"		
"0.000900000000001545 , 3.04128355454757 , 3.10329634994905 , 3.31426064031477"		
"0.00100000000000134 , 3.05574033681317 , 3.13461506779746 , 3.35332953156188"		
"0.00110000000000138 , 3.12362082821265 , 3.16677914040309 , 3.43446354755369"		
"0.00120000000000142 , 3.16290402513659 , 3.1638157413159 , 3.5218388154993"		
"0.00130000000000146 , 3.20418454462419 , 3.16119035397241 , 3.63520044306324"		
"0.00140000000000149 , 3.26182815743837 , 3.35524581875755 , 3.81029084769449"		
"0.00150000000000153 , 3.44192025952843 , 3.3769550040749 , 3.82905358899733"		
"0.00160000000000133 , 3.35179432012001 , 3.31458399321782 , 3.82159735090818"		
"0.00170000000000137 , 3.37312538995107 , 3.38901267147566 , 3.80622598593925"		
"0.0018000000000014 , 3.53741195422879 , 3.53304500566987 , 4.00437431578447"		
"0.00190000000000144 , 3.59533607611228 , 3.676217828003 , 4.14707848833088"		
"0.00200000000000148 , 3.65035177418569 , 3.70545249716198 , 4.29734023158718"		
"0.00210000000000152 , 3.61500280117905 , 3.71679900302368 , 4.26167613500128"		
"0.00220000000000156 , 3.70340017626194 , 3.78085978325737 , 4.35501196478402"		
"0.00230000000000135 , 3.72284931119949 , 3.76779906387776 , 4.46413755759584"		
"0.00240000000000139 , 3.88481920667741 , 3.82522024772902 , 4.66786235431716"		
"0.00250000000000143 , 3.89871423963946 , 3.80550368993904 , 4.6796700630451"		
"0.00260000000000147 , 3.96736166579538 , 4.02083358604907 , 4.77427748831561"		
"0.0027000000000015 , 3.83321860472385 , 3.82690774831898 , 4.66296620507025"		
"0.00280000000000154 , 3.96776527341685 , 4.08145226635762 , 4.85948284686376"		
"0.00290000000000134 , 4.05625907338203 , 4.05978618455204 , 5.02384878476237"		
"0.00300000000000138 , 4.05488769222799 , 4.04799381295348 , 4.98127010301815"		
"0.00310000000000141 , 4.1176357966165 , 4.18560663352063 , 5.14238861061626"		
"0.00320000000000145 , 4.17768423090807 , 4.14735686442881 , 5.14191474970486"		
"0.00330000000000149 , 4.28169580097808 , 4.22535541134598 , 5.26696487936131"		
"0.00340000000000153 , 4.35484317218677 , 4.31045775328297 , 5.35216635118143"		
"0.00350000000000157 , 4.39278771952783 , 4.35955313947802 , 5.44825067243722"		
"0.00360000000000136 , 4.39404367640617 , 4.35852913357158 , 5.49290960852242"		
"0.0037000000000014 , 4.45100878058497 , 4.42522584655579 , 5.63464145907882"		
"0.00380000000000144 , 4.52132291603723 , 4.50597585103352 , 5.73227122923127"		
"0.00390000000000148 , 4.52081096862057 , 4.47578524121062 , 5.72745617003363"		
"0.00400000000000151 , 4.4761031973062 , 4.5667399367684 , 5.87400946918277"		
"0.00410000000000155 , 4.63507000069148 , 4.6384768588376 , 5.90148928531103"		
"0.00420000000000135 , 4.67646375743503 , 4.65116494999277 , 6.02902465134469"		
"0.00430000000000139 , 4.65584144766408 , 4.70381987675064 , 6.10887856335747"		
"0.00440000000000143 , 4.77076600275904 , 4.83045397859756 , 6.19288436858066"		
